term	gene
K12618	XP_005675541.2
K09392	XP_005675546.1
K00909	XP_005675547.2
K10611	XP_005675548.1
K10510	XP_005675553.2
K10510	XP_005675554.2
K10510	XP_005675555.2
K12018	XP_005675560.2
K14622	XP_005675562.2
K17302	XP_005675563.1
K17401	XP_005675564.1
K07831	XP_005675569.1
K18328	XP_005675577.2
K08251	XP_005675579.1
K16470	XP_005675580.2
K06087	XP_005675582.1
K09267	XP_005675585.2
K05137	XP_005675586.1
K01966	XP_005675592.2
K13164	XP_005675593.1
K11583	XP_005675594.1
K12456	XP_005675600.1
K12456	XP_005675601.1
K12456	XP_005675602.1
K12456	XP_005675603.1
K12456	XP_005675604.1
K12456	XP_005675605.1
K12456	XP_005675606.3
K14736	XP_005675608.2
K14736	XP_005675609.2
K14736	XP_005675610.2
K10728	XP_005675612.2
K23966	XP_005675623.3
K08433	XP_005675626.2
K22647	XP_005675631.2
K19360	XP_005675662.2
K04186	XP_005675664.3
K19283	XP_005675666.1
K24828	XP_005675678.2
K22384	XP_005675679.1
K23740	XP_005675680.2
K06786	XP_005675682.2
K09633	XP_005675686.1
K22454	XP_005675692.1
K22453	XP_005675693.1
K19755	XP_005675696.1
K03944	XP_005675699.2
K24891	XP_005675700.2
K01697	XP_005675704.2
K09541	XP_005675708.1
K25791	XP_005675709.1
K13907	XP_005675710.2
K13907	XP_005675711.3
K13523	XP_005675712.2
K23770	XP_005675734.1
K27277	XP_005675745.2
K27277	XP_005675747.2
K15712	XP_005675754.3
K15712	XP_005675755.3
K25730	XP_005675757.2
K09435	XP_005675763.2
K06238	XP_005675766.2
K00599	XP_005675770.2
K15455	XP_005675777.1
K09228	XP_005675794.1
K03877	XP_005675799.1
K24200	XP_005675861.2
K10595	XP_005675862.2
K22733	XP_005675864.1
K22733	XP_005675865.1
K22733	XP_005675866.1
K22733	XP_005675867.1
K16572	XP_005675871.1
K14561	XP_005675872.1
K14561	XP_005675874.1
K02893	XP_005675880.2
K23857	XP_005675882.1
K23857	XP_005675883.1
K03012	XP_005675895.1
K15542	XP_005675897.3
K05605	XP_005675904.1
K10864	XP_005675917.1
K01409	XP_005675919.1
K19721	XP_005675925.2
K19720	XP_005675926.1
K23285	XP_005675927.1
K03909	XP_005675929.2
K04577	XP_005675930.1
K04577	XP_005675931.1
K04577	XP_005675932.1
K15716	XP_005675933.1
K27706	XP_005675936.1
K14313	XP_005675940.2
K14165	XP_005675941.1
K25481	XP_005675943.1
K25481	XP_005675946.1
K13755	XP_005675948.1
K17549	XP_005675949.1
K08033	XP_005675954.1
K13100	XP_005675955.2
K13100	XP_005675956.2
K09573	XP_005675967.1
K09573	XP_005675968.1
K24540	XP_005675970.3
K13298	XP_005675973.1
K08738	XP_005675975.1
K19683	XP_005675976.2
K17776	XP_005675985.2
K09295	XP_005675989.1
K23292	XP_005675991.1
K02128	XP_005675993.2
K04450	XP_005675994.2
K04803	XP_005675998.2
K14358	XP_005676001.1
K06066	XP_005676003.2
K04424	XP_005676006.2
K04351	XP_005676010.2
K04351	XP_005676012.2
K09314	XP_005676019.1
K11303	XP_005676021.1
K10415	XP_005676023.1
K10415	XP_005676024.1
K10415	XP_005676025.1
K10415	XP_005676026.1
K10415	XP_005676027.1
K24975	XP_005676030.1
K11090	XP_005676041.1
K24418	XP_005676043.1
K13248	XP_005676047.2
K13248	XP_005676048.2
K13248	XP_005676050.2
K09566	XP_005676052.2
K09566	XP_005676054.2
K09566	XP_005676055.2
K09566	XP_005676056.2
K09566	XP_005676057.2
K27754	XP_005676059.1
K27754	XP_005676060.1
K10473	XP_005676061.1
K16748	XP_005676062.1
K11149	XP_005676063.1
K05664	XP_005676064.2
K05664	XP_005676065.2
K01084	XP_005676066.1
K11550	XP_005676068.2
K20126	XP_005676070.1
K20126	XP_005676071.1
K23727	XP_005676074.2
K27381	XP_005676079.2
K00710	XP_005676087.1
K17494	XP_005676088.2
K04836	XP_005676090.2
K14997	XP_005676091.2
K23923	XP_005676098.1
K08674	XP_005676100.2
K05259	XP_005676101.1
K05259	XP_005676102.1
K01278	XP_005676103.1
K13861	XP_005676106.1
K13861	XP_005676108.1
K03030	XP_005676109.1
K12650	XP_005676113.2
K24990	XP_005676116.1
K06589	XP_005676121.1
K10662	XP_005676133.1
K26167	XP_005676146.2
K26167	XP_005676148.2
K24764	XP_005676151.2
K00757	XP_005676162.1
K04675	XP_005676164.1
K04675	XP_005676165.1
K13568	XP_005676171.1
K00710	XP_005676174.2
K04997	XP_005676176.1
K00710	XP_005676178.2
K04705	XP_005676184.1
K04865	XP_005676186.1
K11138	XP_005676208.2
K19018	XP_005676210.1
K07859	XP_005676216.1
K25367	XP_005676218.1
K11322	XP_005676226.2
K02606	XP_005676229.2
K04670	XP_005676230.1
K20637	XP_005676236.2
K01556	XP_005676237.1
K00546	XP_005676240.1
K04189	XP_005676243.1
K22503	XP_005676244.2
K25861	XP_005676249.3
K18270	XP_005676250.1
K18270	XP_005676251.1
K03392	XP_005676257.2
K08412	XP_005676263.2
K23014	XP_005676265.1
K23014	XP_005676267.1
K01265	XP_005676286.2
K13179	XP_005676303.1
K13884	XP_005676306.2
K10142	XP_005676308.1
K08762	XP_005676309.1
K14838	XP_005676325.1
K06576	XP_005676331.1
K11222	XP_005676335.1
K10356	XP_005676336.2
K27813	XP_005676341.2
K23608	XP_005676342.2
K14716	XP_005676343.1
K14716	XP_005676344.1
K14716	XP_005676345.1
K14716	XP_005676346.1
K10408	XP_005676348.1
K08804	XP_005676349.2
K15201	XP_005676352.1
K05294	XP_005676353.1
K12828	XP_005676356.1
K18588	XP_005676358.1
K04078	XP_005676362.1
K24979	XP_005676368.1
K15375	XP_005676372.2
K18066	XP_005676387.1
K21921	XP_005676394.2
K00157	XP_005676396.1
K00157	XP_005676397.2
K00157	XP_005676398.2
K00157	XP_005676399.2
K00157	XP_005676400.2
K23561	XP_005676403.1
K12734	XP_005676410.1
K12734	XP_005676411.1
K02604	XP_005676413.1
K03959	XP_005676414.1
K21844	XP_005676415.2
K21844	XP_005676416.2
K04398	XP_005676421.1
K04398	XP_005676422.1
K25631	XP_005676424.1
K15374	XP_005676426.2
K22765	XP_005676430.2
K22765	XP_005676431.2
K04575	XP_005676433.2
K15594	XP_005676434.2
K15594	XP_005676435.2
K12160	XP_005676437.1
K14565	XP_005676438.1
K21595	XP_005676445.1
K23286	XP_005676446.1
K07435	XP_005676447.2
K05751	XP_005676449.1
K06470	XP_005676460.1
K06538	XP_005676461.2
K06713	XP_005676462.1
K06819	XP_005676463.1
K06819	XP_005676464.1
K03934	XP_005676471.1
K04310	XP_005676478.1
K18190	XP_005676481.2
K23009	XP_005676482.1
K09207	XP_005676483.1
K05870	XP_005676488.1
K23483	XP_005676497.2
K23483	XP_005676498.1
K23483	XP_005676499.1
K23483	XP_005676500.2
K00031	XP_005676503.1
K04586	XP_005676506.3
K23483	XP_005676507.1
K10430	XP_005676509.2
K24015	XP_005676514.2
K24015	XP_005676515.2
K01783	XP_005676518.1
K05738	XP_005676539.1
K25210	XP_005676547.1
K01948	XP_005676548.2
K05085	XP_005676549.2
K05085	XP_005676550.2
K05085	XP_005676551.2
K05085	XP_005676552.2
K09220	XP_005676553.1
K09220	XP_005676554.1
K24735	XP_005676556.1
K05717	XP_005676565.2
K10885	XP_005676574.2
K10659	XP_005676575.2
K14440	XP_005676576.2
K05050	XP_005676584.2
K04175	XP_005676587.1
K23864	XP_005676591.2
K02978	XP_005676594.1
K11850	XP_005676598.1
K08900	XP_005676601.1
K08900	XP_005676603.1
K10640	XP_005676604.1
K10640	XP_005676605.1
K06228	XP_005676606.1
K06228	XP_005676607.1
K10980	XP_005676612.2
K14612	XP_005676614.1
K24685	XP_005676617.1
K24685	XP_005676618.1
K24685	XP_005676620.1
K17907	XP_005676627.1
K17907	XP_005676628.1
K05661	XP_005676630.2
K25543	XP_005676631.1
K26089	XP_005676637.1
K07374	XP_005676639.2
K00966	XP_005676650.1
K05105	XP_005676659.1
K05105	XP_005676660.1
K09381	XP_005676661.1
K01890	XP_005676664.1
K14458	XP_005676666.1
K04898	XP_005676668.1
K25732	XP_005676669.2
K02889	XP_005676670.1
K21853	XP_005676676.2
K21853	XP_005676678.2
K09651	XP_005676680.1
K09651	XP_005676681.1
K09651	XP_005676682.1
K24923	XP_005676692.1
K14610	XP_005676699.1
K14610	XP_005676700.1
K14625	XP_005676701.2
K14625	XP_005676702.2
K08190	XP_005676709.1
K08190	XP_005676710.1
K24504	XP_005676716.2
K24504	XP_005676717.2
K24503	XP_005676719.2
K24503	XP_005676720.2
K15413	XP_005676721.2
K22864	XP_005676725.2
K04157	XP_005676728.1
K03259	XP_005676733.1
K00939	XP_005676740.1
K00939	XP_005676741.1
K24956	XP_005676753.2
K23405	XP_005676765.1
K03246	XP_005676767.1
K15042	XP_005676772.1
K13198	XP_005676773.2
K23905	XP_005676781.2
K04238	XP_005676782.1
K12857	XP_005676792.2
K17943	XP_005676794.1
K17943	XP_005676795.1
K17943	XP_005676796.1
K17943	XP_005676797.1
K17943	XP_005676799.1
K12387	XP_005676804.1
K07512	XP_005676806.2
K24505	XP_005676819.1
K03126	XP_005676821.1
K03126	XP_005676822.1
K25102	XP_005676824.1
K11493	XP_005676826.1
K17594	XP_005676828.1
K17594	XP_005676832.1
K15135	XP_005676834.1
K15135	XP_005676835.1
K09528	XP_005676836.1
K17621	XP_005676838.1
K26813	XP_005676840.1
K10739	XP_005676843.2
K13813	XP_005676846.2
K04311	XP_005676849.1
K25866	XP_005676853.2
K08563	XP_005676855.3
K06644	XP_005676864.1
K11778	XP_005676869.2
K16766	XP_005676875.2
K10655	XP_005676882.1
K01062	XP_005676883.1
K04381	XP_005676884.1
K16800	XP_005676886.2
K22733	XP_005676900.1
K09275	XP_005676903.1
K05138	XP_005676904.2
K12900	XP_005676907.2
K12900	XP_005676908.2
K04278	XP_005676913.2
K01206	XP_005676914.3
K01640	XP_005676915.1
K06130	XP_005676919.1
K02868	XP_005676921.1
K09228	XP_005676924.1
K09228	XP_005676926.1
K09228	XP_005676927.1
K11450	XP_005676936.3
K11450	XP_005676937.3
K03987	XP_005676940.2
K03986	XP_005676944.1
K01047	XP_005676962.2
K01047	XP_005676964.2
K01047	XP_005676970.2
K01047	XP_005676971.2
K01047	XP_005676972.2
K01047	XP_005676973.2
K05052	XP_005677015.2
K12670	XP_005677087.3
K10184	XP_005677128.1
K18615	XP_005677138.2
K11317	XP_005677144.1
K21891	XP_005677149.1
K08526	XP_005677155.1
K25476	XP_005677165.3
K11548	XP_005677171.2
K16449	XP_005677172.1
K16449	XP_005677173.1
K13373	XP_005677177.3
K05125	XP_005677178.1
K05125	XP_005677179.1
K05125	XP_005677180.1
K05125	XP_005677181.1
K07989	XP_005677187.1
K25449	XP_005677194.2
K25449	XP_005677195.2
K25449	XP_005677196.2
K14819	XP_005677199.3
K06472	XP_005677201.2
K03283	XP_005677203.2
K12560	XP_005677207.2
K08877	XP_005677209.2
K00236	XP_005677213.1
K06770	XP_005677215.2
K11518	XP_005677216.1
K08541	XP_005677217.2
K08758	XP_005677218.2
K07983	XP_005677220.1
K07968	XP_005677221.1
K07968	XP_005677222.1
K07968	XP_005677223.1
K00231	XP_005677225.1
K11206	XP_005677232.1
K09549	XP_005677236.1
K06593	XP_005677237.1
K06593	XP_005677238.1
K06089	XP_005677256.1
K06582	XP_005677261.1
K06733	XP_005677263.2
K06511	XP_005677269.2
K16852	XP_005677270.1
K16852	XP_005677271.3
K09075	XP_005677276.3
K06171	XP_005677277.1
K05236	XP_005677279.1
K05236	XP_005677280.1
K13337	XP_005677281.1
K11804	XP_005677283.1
K11804	XP_005677285.1
K23468	XP_005677287.1
K01539	XP_005677289.2
K01539	XP_005677290.1
K05003	XP_005677291.1
K05284	XP_005677292.2
K20526	XP_005677295.1
K25551	XP_005677297.1
K16853	XP_005677299.1
K17273	XP_005677300.2
K23267	XP_005677304.2
K04257	XP_005677305.2
K04257	XP_005677306.2
K04257	XP_005677307.2
K04257	XP_005677308.2
K04257	XP_005677309.2
K08089	XP_005677310.2
K04257	XP_005677311.1
K06574	XP_005677313.2
K04257	XP_005677323.2
K04257	XP_005677324.2
K04257	XP_005677326.2
K04257	XP_005677327.2
K04257	XP_005677328.2
K04257	XP_005677329.2
K04257	XP_005677330.2
K06448	XP_005677332.1
K04257	XP_005677333.1
K04257	XP_005677334.2
K06448	XP_005677335.1
K06448	XP_005677343.1
K06448	XP_005677345.2
K06448	XP_005677347.1
K06448	XP_005677348.2
K06727	XP_005677352.3
K04257	XP_005677364.2
K04257	XP_005677365.2
K04257	XP_005677367.2
K04257	XP_005677368.2
K04257	XP_005677369.1
K04257	XP_005677370.2
K04257	XP_005677371.2
K04257	XP_005677373.2
K04257	XP_005677374.1
K04257	XP_005677375.2
K02895	XP_005677391.1
K18329	XP_005677394.1
K17759	XP_005677396.1
K05767	XP_005677399.2
K09495	XP_005677403.1
K15121	XP_005677411.1
K06521	XP_005677415.2
K07906	XP_005677416.1
K20398	XP_005677418.1
K13250	XP_005677420.1
K13250	XP_005677422.1
K25780	XP_005677425.1
K19911	XP_005677429.1
K27320	XP_005677431.2
K23804	XP_005677433.2
K23804	XP_005677434.2
K00787	XP_005677443.1
K17776	XP_005677456.2
K01201	XP_005677458.2
K04659	XP_005677461.3
K09659	XP_005677463.1
K09659	XP_005677464.1
K22375	XP_005677467.2
K00953	XP_005677471.1
K00953	XP_005677472.1
K00953	XP_005677473.1
K00953	XP_005677474.1
K02219	XP_005677475.1
K13273	XP_005677482.1
K10582	XP_005677490.3
K16220	XP_005677493.1
K26545	XP_005677513.2
K09290	XP_005677517.1
K09290	XP_005677518.1
K02978	XP_005677525.1
K06109	XP_005677526.2
K14709	XP_005677528.1
K14709	XP_005677530.1
K09048	XP_005677532.2
K13140	XP_005677543.3
K20002	XP_005677545.1
K13089	XP_005677546.1
K23758	XP_005677552.2
K23765	XP_005677553.1
K23765	XP_005677554.1
K23767	XP_005677555.1
K23768	XP_005677556.1
K23759	XP_005677557.1
K23760	XP_005677558.1
K23761	XP_005677559.1
K23762	XP_005677560.2
K23762	XP_005677561.2
K23762	XP_005677562.2
K23762	XP_005677563.2
K23762	XP_005677564.2
K21126	XP_005677566.1
K21126	XP_005677567.1
K21127	XP_005677570.1
K01446	XP_005677572.2
K01446	XP_005677574.1
K01446	XP_005677575.1
K09878	XP_005677609.2
K23927	XP_005677637.2
K23769	XP_005677639.2
K23765	XP_005677640.1
K16339	XP_005677642.1
K22554	XP_005677643.1
K18406	XP_005677644.1
K02978	XP_005677648.2
K27192	XP_005677649.1
K22594	XP_005677652.1
K17285	XP_005677660.2
K08061	XP_005677661.2
K08061	XP_005677663.2
K19801	XP_005677666.1
K19801	XP_005677667.1
K03029	XP_005677669.2
K03029	XP_005677670.2
K00889	XP_005677671.2
K00889	XP_005677672.2
K11664	XP_005677678.1
K10370	XP_005677679.1
K10370	XP_005677680.1
K24827	XP_005677681.1
K09454	XP_005677687.1
K18448	XP_005677693.2
K01514	XP_005677694.2
K01309	XP_005677696.2
K01309	XP_005677697.2
K01309	XP_005677698.2
K17090	XP_005677700.1
K11421	XP_005677701.1
K11421	XP_005677702.1
K01371	XP_005677713.1
K01368	XP_005677714.2
K12778	XP_005677715.2
K12778	XP_005677716.2
K15620	XP_005677718.1
K27491	XP_005677719.1
K23867	XP_005677724.2
K01868	XP_005677726.2
K12843	XP_005677729.1
K02970	XP_005677734.1
K02970	XP_005677735.1
K21599	XP_005677736.1
K01672	XP_005677740.1
K06172	XP_005677741.1
K18648	XP_005677746.1
K18648	XP_005677747.1
K12479	XP_005677753.2
K06258	XP_005677759.2
K11252	XP_005677760.1
K11251	XP_005677761.1
K11251	XP_005677762.1
K11252	XP_005677763.2
K11254	XP_005677765.1
K11252	XP_005677767.1
K02736	XP_005677779.2
K23100	XP_005677786.2
K23100	XP_005677787.2
K20910	XP_005677789.1
K03024	XP_005677790.1
K13352	XP_005677794.1
K06586	XP_005677796.2
K06586	XP_005677797.2
K03023	XP_005677801.1
K24057	XP_005677803.2
K24057	XP_005677805.2
K24057	XP_005677806.2
K24057	XP_005677807.2
K22193	XP_005677808.1
K07617	XP_005677811.1
K07614	XP_005677812.1
K14395	XP_005677814.2
K11982	XP_005677823.3
K04257	XP_005677825.3
K16549	XP_005677827.2
K16549	XP_005677828.2
K08517	XP_005677838.1
K22244	XP_005677839.1
K11517	XP_005677843.1
K11517	XP_005677846.1
K01867	XP_005677848.1
K10182	XP_005677852.1
K14556	XP_005677855.2
K24997	XP_005677857.1
K01230	XP_005677859.1
K06747	XP_005677861.2
K12021	XP_005677863.1
K15173	XP_005677865.2
K06522	XP_005677868.2
K06449	XP_005677870.1
K08211	XP_005677882.2
K23445	XP_005677883.1
K05251	XP_005677886.2
K12656	XP_005677889.2
K07828	XP_005677891.1
K07828	XP_005677892.1
K01490	XP_005677899.2
K01490	XP_005677900.2
K25448	XP_005677907.1
K15341	XP_005677911.1
K12401	XP_005677912.1
K22610	XP_005677922.3
K17504	XP_005677931.2
K18422	XP_005677934.1
K18422	XP_005677935.1
K10364	XP_005677941.1
K02127	XP_005677954.1
K25393	XP_005677958.1
K01183	XP_005677960.2
K17523	XP_005677964.1
K20161	XP_005677965.1
K20161	XP_005677966.1
K21956	XP_005677969.1
K21956	XP_005677970.1
K23220	XP_005677973.2
K06489	XP_005677977.1
K04875	XP_005677978.1
K04881	XP_005677979.2
K16344	XP_005677982.3
K08181	XP_005677983.1
K17277	XP_005677993.2
K00799	XP_005677994.1
K00799	XP_005678001.1
K22529	XP_005678010.1
K24494	XP_005678015.2
K21443	XP_005678016.1
K01875	XP_005678017.1
K03127	XP_005678025.1
K15837	XP_005678026.2
K15301	XP_005678032.1
K08615	XP_005678038.2
K08615	XP_005678040.2
K08883	XP_005678048.2
K01183	XP_005678053.1
K04876	XP_005678055.3
K20798	XP_005678067.2
K05730	XP_005678070.1
K01176	XP_005678076.1
K01176	XP_005678077.1
K13157	XP_005678078.1
K13157	XP_005678079.1
K13157	XP_005678080.1
K19721	XP_005678082.2
K25446	XP_005678086.2
K04288	XP_005678088.1
K00586	XP_005678090.1
K00586	XP_005678091.1
K00586	XP_005678092.1
K14692	XP_005678094.1
K02369	XP_005678095.1
K06527	XP_005678096.2
K09699	XP_005678102.2
K15446	XP_005678103.1
K16487	XP_005678106.1
K01196	XP_005678111.1
K16519	XP_005678112.1
K19582	XP_005678113.1
K19581	XP_005678115.1
K19581	XP_005678116.1
K00207	XP_005678117.1
K23688	XP_005678142.1
K21751	XP_005678147.1
K11485	XP_005678148.1
K14825	XP_005678151.1
K02932	XP_005678154.1
K20827	XP_005678159.1
K10480	XP_005678164.3
K22369	XP_005678166.3
K22038	XP_005678178.1
K07441	XP_005678186.3
K13510	XP_005678190.2
K11724	XP_005678191.2
K00816	XP_005678196.2
K03124	XP_005678199.1
K02513	XP_005678202.2
K05030	XP_005678204.2
K05030	XP_005678205.2
K05030	XP_005678207.2
K05027	XP_005678208.2
K05028	XP_005678209.2
K27833	XP_005678211.2
K01482	XP_005678213.2
K07368	XP_005678214.1
K14846	XP_005678221.1
K00365	XP_005678225.1
K04345	XP_005678227.1
K04593	XP_005678239.1
K02135	XP_005678250.1
K04262	XP_005678251.1
K20056	XP_005678255.2
K09510	XP_005678256.1
K23918	XP_005678257.1
K23918	XP_005678258.1
K13210	XP_005678263.1
K13210	XP_005678264.1
K13210	XP_005678265.1
K13210	XP_005678266.1
K13210	XP_005678267.1
K13210	XP_005678269.1
K13210	XP_005678270.1
K11848	XP_005678280.2
K11848	XP_005678281.2
K00939	XP_005678287.1
K05290	XP_005678289.1
K10339	XP_005678291.1
K05956	XP_005678294.3
K27289	XP_005678307.2
K15450	XP_005678312.1
K00344	XP_005678314.1
K17535	XP_005678316.1
K00976	XP_005678317.2
K26076	XP_005678321.1
K01758	XP_005678324.2
K11158	XP_005678333.1
K27258	XP_005678335.1
K13199	XP_005678340.2
K05065	XP_005678342.2
K22001	XP_005678352.2
K25421	XP_005678353.1
K02953	XP_005678354.2
K20065	XP_005678355.1
K13293	XP_005678361.1
K09526	XP_005678364.1
K23852	XP_005678374.2
K11510	XP_005678377.1
K08342	XP_005678378.1
K08342	XP_005678379.1
K08342	XP_005678380.1
K08342	XP_005678381.1
K22808	XP_005678387.2
K09168	XP_005678393.3
K09168	XP_005678394.3
K07418	XP_005678398.2
K00875	XP_005678401.2
